allergens,brand,carb_cals,dma_ash,dma_cals,dma_carbs,dma_fat,dma_fiber,dma_prot,dry_wet,fat_cals,ga_ash,ga_carbs,ga_fat,ga_fiber,ga_moist,ga_prot,ingredients,ingredients_paws,name,nutrition_paws,prot_cals,total_cals
,purina pro plan,,0%,68/100g,25%,11%,8%,56%,wet,,0.0%,4.5%,2.0%,1.5%,82.0%,10.0%,"Water sufficient for processing,chicken,wheat gluten,liver,tuna,meat by-products,wild rice,corn starch-modified,artificial and natural flavors,salt,soy protein concentrate,tricalcium phosphate,potassium chloride,added color,taurine,choline chloride,Vitamin E supplement,zinc sulfate,ferrous sulfate,niacin,calcium pantothenate,Vitamin A supplement,menadione sodium bisulfite complex (source of Vitamin K activity),copper sulfate,manganese sulfate,pyridoxine hydrochloride,riboflavin supplement,Vitamin B-12 supplement,biotin,folic acid,Vitamin D-3 supplement,and potassium iodide",[2],"Savor Adult Chicken, Tuna & Wild Rice Entrée In Sauce",[3],,
,purina pro plan,,0%,68/100g,25%,11%,8%,56%,wet,,0.0%,4.5%,2.0%,1.5%,82.0%,10.0%,"Water sufficient for processing,chicken,liver,wheat gluten,tomatoes,meat by-products,pasta (wheat flour,egg whites),corn starch-modified,turkey,artificial and natural flavors,soy flour,salt,tricalcium phosphate,potassium chloride,added color,taurine,choline chloride,Vitamin E supplement,thiamine mononitrate,zinc sulfate,ferrous sulfate,niacin,calcium pantothenate,Vitamin A supplement,menadione sodium bisulfite complex (source of Vitamin K activity),copper sulfate,manganese sulfate,pyridoxine hydrochloride,riboflavin supplement,Vitamin B-12 supplement,biotin,folic acid,Vitamin D-3 supplement,and potassium iodide",[2],"Savor Adult Chicken, Tomato & Pasta Entrée In Gravy",[3],,
,purina pro plan,,0%,68/100g,25%,11%,8%,56%,wet,,0.0%,4.5%,2.0%,1.5%,82.0%,10.0%,"Water sufficient for processing,chicken,wheat gluten,liver,meat by-products,pasta (wheat flour,egg whites),spinach,turkey,corn starch-modified,artificial and natural flavors,salt,tricalcium phosphate,soy protein concentrate,potassium chloride,added color,taurine,choline chloride,Vitamin E supplement,thiamine mononitrate,zinc sulfate,ferrous sulfate,niacin,calcium pantothenate,Vitamin A supplement,menadione sodium bisulfite complex (source of Vitamin K activity),copper sulfate,manganese sulfate,pyridoxine hydrochloride,riboflavin supplement,Vitamin B-12 supplement,biotin,folic acid,Vitamin D-3 supplement,and potassium iodide",[1],"Savor Adult Chicken, Pasta & Spinach Entrée In Gravy",[3],,
,purina pro plan,,0%,75/100g,33%,10%,8%,50%,wet,,0.0%,6.5%,2.0%,1.5%,80.0%,10.0%,"Water sufficient for processing,chicken,liver,wheat gluten,meat by-products,tomatoes,corn starch-modified,artificial and natural flavors,salt,soy protein concentrate,tricalcium phosphate,corn oil,potassium chloride,added color,taurine,choline chloride,Vitamin E supplement,thiamine mononitrate,zinc sulfate,ferrous sulfate,niacin,calcium pantothenate,Vitamin A supplement,menadione sodium bisulfite complex (source of Vitamin K activity),copper sulfate,manganese sulfate,pyridoxine hydrochloride,riboflavin supplement,Vitamin B-12 supplement,biotin,folic acid,Vitamin D-3 supplement,and potassium iodide",[1],Savor Adult Chicken Entrée With Tomatoes In Gravy,[2],,
,purina pro plan,,0%,107/100g,16%,32%,7%,45%,wet,,0.0%,3.5%,7.0%,1.5%,78.0%,10.0%,"Chicken,water sufficient for processing,liver,meat by-products,fish,spinach,artificial and natural flavors,tricalcium phosphate,guar gum,potassium chloride,taurine,salt,carrageenan,choline chloride,DL-Methionine,Vitamin E supplement,thiamine mononitrate,zinc sulfate,ferrous sulfate,niacin,copper sulfate,calcium pantothenate,Vitamin A supplement,manganese sulfate,menadione sodium bisulfite complex (Vitamin K),pyridoxine hydrochloride,riboflavin supplement,Vitamin B-12 supplement,biotin,folic acid,Vitamin D-3 supplement,and potassium iodide",[2],Savor Adult Chicken & Spinach Entrée Grain Free Classic,[3],,
,purina pro plan,,0%,97/100g,25%,23%,7%,45%,wet,,0.0%,5.5%,5.0%,1.5%,78.0%,10.0%,"Chicken,water sufficient for processing,liver,meat by-products,fish,spinach,artificial and natural flavors,tricalcium phosphate,guar gum,potassium chloride,taurine,salt,choline chloride,Vitamin E supplement,thiamine mononitrate,zinc sulfate,ferrous sulfate,niacin,calcium pantothenate,copper sulfate,Vitamin A supplement,manganese sulfate,menadione sodium bisulfite complex (source of Vitamin K activity),pyridoxine hydrochloride,riboflavin supplement,Vitamin B-12 supplement,biotin,folic acid,Vitamin D-3 supplement,and potassium iodide",[2],Savor Adult Chicken & Spinach Entrée Classic,[3],,
,purina pro plan,,0%,75/100g,28%,10%,8%,55%,wet,,0.0%,5.5%,2.0%,1.5%,80.0%,11.0%,"Water sufficient for processing,chicken,liver,wheat gluten,meat by-products,rice,soy flour,corn starch-modified,artificial and natural flavors,salt,tricalcium phosphate,potassium chloride,added color,taurine,choline chloride,Vitamin E supplement,thiamine mononitrate,zinc sulfate,niacin,ferrous sulfate,calcium pantothenate,Vitamin A supplement,menadione sodium bisulfite complex (Vitamin K),pyridoxine hydrochloride,copper sulfate,manganese sulfate,riboflavin supplement,Vitamin B-12 supplement,biotin,folic acid,Vitamin D-3 supplement,and potassium iodide",[1],Savor Adult Chicken & Rice Entrée In Gravy,[3],,
,purina pro plan,,0%,75/100g,33%,10%,8%,50%,wet,,0.0%,6.5%,2.0%,1.5%,80.0%,10.0%,"Water sufficient for processing,chicken,liver,wheat gluten,meat by-products,corn starch-modified,cheese,artificial and natural flavors,salt,sodium caseinate,tricalcium phosphate,soy protein concentrate,soybean oil,potassium chloride,spice and coloring,dried whey,taurine,choline chloride,sodium tripolyphosphate,Vitamin E supplement,thiamine mononitrate,zinc sulfate,ferrous sulfate,niacin,sorbic acid (a preservative),calcium pantothenate,Vitamin A supplement,menadione sodium bisulfite complex (source of Vitamin K activity),copper sulfate,manganese sulfate,pyridoxine hydrochloride,riboflavin supplement,Vitamin B-12 supplement,biotin,folic acid,Vitamin D-3 supplement,and potassium iodide",[1],Savor Adult Chicken & Cheese Entrée In Gravy,[2],,
,purina pro plan,,0%,68/100g,25%,11%,8%,56%,wet,,0.0%,4.5%,2.0%,1.5%,82.0%,10.0%,"Water sufficient for processing,beef,liver,wheat gluten,meat by-products,carrots,rice,fish,corn starch-modified,artificial and natural flavors,soy flour,salt,tricalcium phosphate,added color,potassium chloride,taurine,choline chloride,Vitamin E supplement,thiamine mononitrate,zinc sulfate,ferrous sulfate,niacin,calcium pantothenate,Vitamin A supplement,menadione sodium bisulfite complex (source of Vitamin K activity),copper sulfate,pyridoxine hydrochloride,manganese sulfate,riboflavin supplement,Vitamin B-12 supplement,biotin,folic acid,Vitamin D-3 supplement,and potassium iodide",[1],"Savor Adult Beef, Carrots & Rice Entrée In Gravy",[3],,
,purina pro plan,,0%,75/100g,28%,10%,8%,55%,wet,,0.0%,5.5%,2.0%,1.5%,80.0%,11.0%,"Water sufficient for processing,beef,liver,wheat gluten,meat by-products,chicken,corn starch-modified,artificial and natural flavors,salt,soy protein concentrate,added color,tricalcium phosphate,potassium chloride,taurine,choline chloride,thiamine mononitrate,Vitamin E supplement,zinc sulfate,ferrous sulfate,niacin,calcium pantothenate,Vitamin A supplement,menadione sodium bisulfite complex (source of Vitamin K activity),copper sulfate,manganese sulfate,pyridoxine hydrochloride,riboflavin supplement,Vitamin B-12 supplement,biotin,folic acid,Vitamin D-3 supplement,and potassium iodide",[1],Savor Adult Beef & Chicken Entrée In Gravy,[3],,
,purina pro plan,,0%,75/100g,33%,10%,8%,50%,wet,,0.0%,6.5%,2.0%,1.5%,80.0%,10.0%,"Water sufficient for processing,beef,liver,wheat gluten,meat by-products,carrots,corn starch-modified,artificial and natural flavors,salt,corn oil,soy protein concentrate,tricalcium phosphate,added color,potassium chloride,taurine,choline chloride,Vitamin E supplement,thiamine mononitrate,zinc sulfate,ferrous sulfate,niacin,calcium pantothenate,Vitamin A supplement,menadione sodium bisulfite complex (source of Vitamin K activity),copper sulfate,manganese sulfate,pyridoxine hydrochloride,riboflavin supplement,Vitamin B-12 supplement,biotin,folic acid,Vitamin D-3 supplement,and potassium iodide",[1],Savor Adult Beef Entrée With Carrots In Gravy,[2],,
,purina pro plan,,0%,75/100g,33%,10%,8%,50%,wet,,0.0%,6.5%,2.0%,1.5%,80.0%,10.0%,"Water sufficient for processing,beef,liver,wheat gluten,meat by-products,corn starch-modified,cheese,artificial and natural flavors,salt,spice and coloring,sodium caseinate,tricalcium phosphate,soy protein concentrate,soybean oil,potassium chloride,dried whey,taurine,choline chloride,sodium tripolyphosphate,Vitamin E supplement,thiamine mononitrate,zinc sulfate,ferrous sulfate,niacin,sorbic acid (a preservative),calcium pantothenate,Vitamin A supplement,menadione sodium bisulfite complex (source of Vitamin K activity),copper sulfate,manganese sulfate,pyridoxine hydrochloride,riboflavin supplement,Vitamin B-12 supplement,biotin,folic acid,Vitamin D-3 supplement,and potassium iodide",[1],Savor Adult Beef & Cheese Entrée In Gravy,[2],,
,purina pro plan,,0%,102/100g,20%,27%,7%,45%,wet,,0.0%,4.5%,6.0%,1.5%,78.0%,10.0%,"Beef,liver,meat by-products,chicken,water sufficient for processing,fish,carrots,artificial and natural flavors,guar gum,tricalcium phosphate,potassium chloride,taurine,salt,carrageenan,choline chloride,DL-Methionine,Vitamin E supplement,thiamine mononitrate,zinc sulfate,ferrous sulfate,niacin,calcium pantothenate,Vitamin A supplement,copper sulfate,menadione sodium bisulfite complex (Vitamin K),manganese sulfate,pyridoxine hydrochloride,riboflavin supplement,Vitamin B-12 supplement,biotin,folic acid,Vitamin D-3 supplement,and potassium iodide",[2],Savor Adult Beef & Carrots Entrée Grain Free Classic,[3],,
,purina pro plan,,0%,97/100g,25%,23%,7%,45%,wet,,0.0%,5.5%,5.0%,1.5%,78.0%,10.0%,"Beef,liver,meat by-products,water sufficient for processing,chicken,fish,carrots,artificial and natural flavors,tricalcium phosphate,guar gum,potassium chloride,choline chloride,taurine,salt,Vitamin E supplement,thiamine mononitrate,zinc sulfate,ferrous sulfate,niacin,calcium pantothenate,copper sulfate,Vitamin A supplement,manganese sulfate,menadione sodium bisulfite complex (source of Vitamin K activity),pyridoxine hydrochloride,riboflavin supplement,Vitamin B-12 supplement,biotin,folic acid,Vitamin D-3 supplement,and potassium iodide",[3],Savor Adult Beef & Carrots Entrée Classic,[3],,
,purina pro plan,,16%,95/100g,0%,32%,7%,45%,wet,,3.5%,0.0%,7.0%,1.5%,78.0%,10.0%,"Turkey,water sufficient for processing,liver,meat by-products,chicory root,poultry giblets,soybean oil,fish oil,artificial and natural flavors,salt,guar gum,taurine,potassium chloride,tricalcium phosphate,Vitamin E supplement,magnesium sulfate,mono and dicalcium phosphate,L-ascorbyl-2-polyphosphate (Vitamin C),choline chloride,DL-Methionine,beta-Carotene,zinc sulfate,ferrous sulfate,thiamine mononitrate,niacin,copper sulfate,manganese sulfate,calcium pantothenate,Vitamin A supplement,menadione sodium bisulfite complex (Vitamin K),pyridoxine hydrochloride,riboflavin supplement,Vitamin B-12 supplement,biotin,folic acid,potassium iodide,and Vitamin D-3 supplement",[2],Prime Plus Adult 7+ Turkey & Giblets Entrée Classic,[4],,
,purina pro plan,,16%,95/100g,0%,32%,7%,45%,wet,,3.5%,0.0%,7.0%,1.5%,78.0%,10.0%,"Salmon,liver,water sufficient for processing,meat by-products,soybean oil,chicory root,tuna,artificial and natural flavors,salt,tricalcium phosphate,guar gum,taurine,potassium chloride,fish oil,Vitamin E supplement,magnesium sulfate,mono and dicalcium phosphate,L-ascorbyl-2-polyphosphate (Vitamin C),choline chloride,beta-Carotene,zinc sulfate,thiamine mononitrate,ferrous sulfate,niacin,copper sulfate,manganese sulfate,calcium pantothenate,Vitamin A supplement,menadione sodium bisulfite complex (Vitamin K),pyridoxine hydrochloride,riboflavin supplement,Vitamin B-12 supplement,biotin,folic acid,Vitamin D-3 supplement,and potassium iodide",[1],Prime Plus Adult 7+ Salmon & Tuna Entrée Classic,[4],,
,purina pro plan,,16%,95/100g,0%,32%,7%,45%,wet,,3.5%,0.0%,7.0%,1.5%,78.0%,10.0%,"Ocean whitefish,liver,meat by-products,water sufficient for processing,salmon,soybean oil,chicory root,artificial and natural flavors,salt,potassium chloride,guar gum,taurine,fish oil,Vitamin E supplement,magnesium sulfate,mono and dicalcium phosphate,L-ascorbyl-2-polyphosphate (Vitamin C),tricalcium phosphate,choline chloride,beta-Carotene,zinc sulfate,thiamine mononitrate,ferrous sulfate,niacin,copper sulfate,manganese sulfate,calcium pantothenate,Vitamin A supplement,menadione sodium bisulfite complex (Vitamin K),pyridoxine hydrochloride,riboflavin supplement,Vitamin B-12 supplement,biotin,folic acid,Vitamin D-3 supplement,and potassium iodide",[2],Prime Plus Adult 7+ Ocean Whitefish & Salmon Entrée Classic,[4],,
,purina pro plan,,16%,95/100g,5%,32%,7%,41%,wet,,3.5%,1.0%,7.0%,1.5%,78.0%,9.0%,"Chicken,water sufficient for processing,liver,meat by-products,beef,chicory root,soybean oil,fish oil,artificial and natural flavors,salt,tricalcium phosphate,potassium chloride,guar gum,taurine,Vitamin E supplement,DL-Methionine,magnesium sulfate,mono and dicalcium phosphate,L-ascorbyl-2-polyphosphate (Vitamin C),choline chloride,beta-Carotene,zinc sulfate,thiamine mononitrate,ferrous sulfate,niacin,copper sulfate,manganese sulfate,calcium pantothenate,Vitamin A supplement,menadione sodium bisulfite complex (Vitamin K),pyridoxine hydrochloride,riboflavin supplement,Vitamin B-12 supplement,biotin,folic acid,Vitamin D-3 supplement,and potassium iodide",[3],Prime Plus Adult 7+ Chicken & Beef Entrée Classic,[4],,
,purina pro plan,,0%,107/100g,17%,26%,6%,51%,wet,,0.0%,4.0%,6.0%,1.5%,76.5%,12.0%,"Salmon,ocean fish,liver,meat by-products,water sufficient for processing,chicken,artificial and natural flavors,calcium phosphate,rice,added color,guar gum,potassium chloride,salt,choline chloride,taurine,Vitamin E supplement,thiamine mononitrate,zinc sulfate,ferrous sulfate,niacin,copper sulfate,calcium pantothenate,manganese sulfate,Vitamin A supplement,menadione sodium bisulfite complex (source of Vitamin K activity),pyridoxine hydrochloride,riboflavin supplement,Vitamin B-12 supplement,biotin,folic acid,Vitamin D-3 supplement,and potassium iodide",[2],Focus Kitten Salmon & Ocean Fish Entrée Classic,[3],,
,purina pro plan,,0%,102/100g,17%,21%,6%,55%,wet,,0.0%,4.0%,5.0%,1.5%,76.5%,13.0%,"Water sufficient for processing,ocean whitefish,fish,liver,wheat gluten,meat by-products,chicken,tuna,soy flour,soy protein concentrate,artificial and natural flavors,added color,calcium phosphate,potassium chloride,xanthan gum,taurine,carrageenan,choline chloride,salt,Vitamin E supplement,thiamine mononitrate,zinc sulfate,ferrous sulfate,niacin,calcium pantothenate,copper sulfate,Vitamin A supplement,menadione sodium bisulfite complex (source of Vitamin K activity),pyridoxine hydrochloride,riboflavin supplement,Vitamin B-12 supplement,biotin,folic acid,Vitamin D-3 supplement,and potassium iodide",[1],Focus Kitten Ocean Whitefish & Tuna Entrée Flaked,[3],,
,purina pro plan,,0%,107/100g,17%,26%,6%,51%,wet,,0.0%,4.0%,6.0%,1.5%,76.5%,12.0%,"Chicken,liver,fish,meat by-products,water sufficient for processing,artificial and natural flavors,calcium phosphate,rice,guar gum,potassium chloride,added color,salt,taurine,thiamine mononitrate,zinc sulfate,Vitamin E supplement,ferrous sulfate,niacin,copper sulfate,calcium pantothenate,manganese sulfate,Vitamin A supplement,menadione sodium bisulfite complex (source of Vitamin K activity),pyridoxine hydrochloride,riboflavin supplement,Vitamin B-12 supplement,biotin,folic acid,Vitamin D-3 supplement,and potassium iodide",[2],Focus Kitten Chicken & Liver Entrée Classic,[3],,
,purina pro plan,,13%,98/100g,10%,30%,2%,45%,wet,,2.8%,2.2%,6.5%,0.5%,78.0%,10.0%,"Meat by products,water sufficient for processing,turkey,poultry by-products,poultry giblets,rice,salt,guar gum,potassium chloride,added color,carrageenan,taurine,mono and dicalcium phosphate,zinc sulfate,thiamine mononitrate,Vitamin E supplement,ferrous sulfate,niacin,copper sulfate,manganese sulfate,calcium pantothenate,Vitamin A supplement,menadione sodium bisulfite complex (Vitamin K),pyridoxine hydrochloride,riboflavin supplement,Vitamin B-12 supplement,biotin,folic acid,Vitamin D-3 supplement,and potassium iodide",[1],Focus Adult Wet Cat Food Urinary Tract Health Formula Turkey & Giblets Entrée Classic,[3],,
,purina pro plan,,0%,99/100g,14%,25%,7%,55%,wet,,0.0%,3.0%,5.5%,1.5%,78.0%,12.0%,"Water sufficient for processing,turkey,liver,wheat gluten,meat by-products,rice,soy flour,soy protein concentrate,artificial and natural flavors,potassium chloride,calcium phosphate,guar gum,taurine,locust bean gum,xanthan gum,carrageenan,salt,choline chloride,Vitamin E supplement,thiamine mononitrate,zinc sulfate,ferrous sulfate,niacin,calcium pantothenate,Vitamin A supplement,menadione sodium bisulfite complex (source of Vitamin K activity),copper sulfate,manganese sulfate,pyridoxine hydrochloride,riboflavin supplement,Vitamin B-12 supplement,biotin,folic acid,Vitamin D-3 supplement,and potassium iodide",[1],Focus Adult Weight Management Turkey & Rice Entrée Ground,[4],,
,purina pro plan,,13%,98/100g,10%,30%,2%,45%,wet,,2.8%,2.2%,6.5%,0.5%,78.0%,10.0%,"Meat by products,water sufficient for processing,turkey,poultry by-products,poultry giblets,rice,salt,guar gum,potassium chloride,added color,carrageenan,taurine,zinc sulfate,thiamine mononitrate,Vitamin E supplement,ferrous sulfate,niacin,copper sulfate,manganese sulfate,calcium pantothenate,Vitamin A supplement,menadione sodium bisulfite complex (source of Vitamin K activity),pyridoxine hydrochloride,riboflavin supplement,Vitamin B-12 supplement,biotin,folic acid,Vitamin D-3 supplement,and potassium iodide",[1],Focus Adult Urinary Tract Health Formula Turkey & Giblets Entrée Classic,[3],,
,purina pro plan,,13%,98/100g,10%,30%,2%,45%,wet,,2.8%,2.2%,6.5%,0.5%,78.0%,10.0%,"Ocean whitefish,meat by-products,chicken,water sufficient for processing,chicken by-products,rice,guar gum,added color,potassium chloride,salt,Vitamin E supplement,carrageenan,taurine,zinc sulfate,thiamine mononitrate,ferrous sulfate,niacin,copper sulfate,manganese sulfate,calcium pantothenate,Vitamin A supplement,menadione sodium bisulfite complex (source of Vitamin K activity),pyridoxine hydrochloride,riboflavin supplement,Vitamin B-12 supplement,biotin,folic acid,Vitamin D-3 supplement,and potassium iodide",[1],Focus Adult Urinary Tract Health Formula Ocean Whitefish Entrée Classic,[3],,
,purina pro plan,,11%,97/100g,14%,27%,2%,45%,wet,,2.5%,3.0%,6.0%,0.5%,78.0%,10.0%,"Meat by products,chicken by-products,water sufficient for processing,salmon,rice,guar gum,added color,potassium chloride,salt,Red 3,carrageenan,taurine,Vitamin E supplement,zinc sulfate,thiamine mononitrate,ferrous sulfate,niacin,sodium nitrite (to promote color retention),copper sulfate,manganese sulfate,calcium pantothenate,Vitamin A supplement,menadione sodium bisulfite complex (source of Vitamin K activity),pyridoxine hydrochloride,riboflavin supplement,Vitamin B-12 supplement,biotin,folic acid,Vitamin D-3 supplement,and potassium iodide",[1],Focus Adult Urinary Tract Health Formula Classic Entree With Salmon,[3],,
,purina pro plan,,0%,84/100g,32%,9%,4%,55%,wet,,0.0%,7.1%,2.0%,0.9%,78.0%,12.0%,"Water sufficient for processing,salmon,wheat gluten,liver,meat by-products,corn bran,chicken,corn starch-modified,artificial and natural flavors,rice,soy flour,salt,calcium phosphate,potassium chloride,taurine,choline chloride,Vitamin E supplement,thiamine mononitrate,added color,niacin,zinc sulfate,ferrous sulfate,calcium pantothenate,Vitamin A supplement,menadione sodium bisulfite complex (source of Vitamin K activity),pyridoxine hydrochloride,copper sulfate,riboflavin supplement,Vitamin B-12 supplement,manganese sulfate,biotin,folic acid,Vitamin D-3 supplement,and potassium iodide",[1],Focus Adult Indoor Care Salmon & Rice Entrée In Sauce,[3],,
,purina pro plan,,0%,75/100g,28%,10%,8%,55%,wet,,0.0%,5.5%,2.0%,1.5%,80.0%,11.0%,"Water sufficient for processing,turkey,liver,wheat gluten,meat by-products,corn starch-modified,artificial and natural flavors,salt,soy protein concentrate,tricalcium phosphate,potassium chloride,added color,taurine,choline chloride,Vitamin E supplement,thiamine mononitrate,mono and dicalcium phosphate,zinc sulfate,L-Carnitine,ferrous sulfate,niacin,calcium pantothenate,Vitamin A supplement,menadione sodium bisulfite complex (source of Vitamin K activity),copper sulfate,magnesium sulfate,pyridoxine hydrochloride,riboflavin supplement,Vitamin B-12 supplement,biotin,folic acid,Vitamin D-3 supplement,and potassium iodide",[1],Focus Adult Healthy Metabolism Formula Turkey Entree In Gravy,[3],,
,purina pro plan,,7%,89/100g,22%,16%,1%,55%,wet,,1.5%,4.8%,3.5%,0.2%,78.0%,12.0%,"Water sufficient for processing,meat by-products,chicken,wheat gluten,corn starch-modified,artificial and natural flavors,soy flour,potassium chloride,taurine,tricalcium phosphate,salt,added color,thiamine mononitrate,Vitamin E supplement,zinc sulfate,ferrous sulfate,niacin,calcium pantothenate,Vitamin A supplement,menadione sodium bisulfite complex (source of Vitamin K activity),pyridoxine hydrochloride,manganese sulfate,copper sulfate,riboflavin supplement,Vitamin B-12 supplement,biotin,folic acid,Vitamin D-3 supplement,and potassium iodide",[1],Focus Adult Urinary Tract Health Formula Chicken Entrée In Gravy,[3],,
,purina pro plan,,0%,75/100g,28%,10%,8%,55%,wet,,0.0%,5.5%,2.0%,1.5%,80.0%,11.0%,"Water sufficient for processing,salmon,wheat gluten,liver,meat by-products,corn starch-modified,artificial and natural flavors,salt,soy protein concentrate,tricalcium phosphate,potassium chloride,added color,taurine,choline chloride,Vitamin E supplement,thiamine mononitrate,mono and dicalcium phosphate,zinc sulfate,L-Carnitine,ferrous sulfate,niacin,calcium pantothenate,Vitamin A supplement,menadione sodium bisulfite complex (source of Vitamin K activity),copper sulfate,magnesium sulfate,pyridoxine hydrochloride,riboflavin supplement,Vitamin B-12 supplement,biotin,folic acid,Vitamin D-3 supplement,and potassium iodide",[1],Focus Adult Healthy Metabolism Formula Salmon Entree In Sauce,[3],,
,purina pro plan,,0%,75/100g,28%,10%,8%,55%,wet,,0.0%,5.5%,2.0%,1.5%,80.0%,11.0%,"Water sufficient for processing,chicken,liver,wheat gluten,meat by-products,corn starch-modified,artificial and natural flavors,salt,soy protein concentrate,tricalcium phosphate,potassium chloride,added color,taurine,choline chloride,Vitamin E supplement,thiamine mononitrate,mono and dicalcium phosphate,zinc sulfate,L-Carnitine,ferrous sulfate,niacin,calcium pantothenate,Vitamin A supplement,menadione sodium bisulfite complex (source of Vitamin K activity),copper sulfate,magnesium sulfate,pyridoxine hydrochloride,riboflavin supplement,Vitamin B-12 supplement,biotin,folic acid,Vitamin D-3 supplement,and potassium iodide",[1],Focus Adult Healthy Metabolism Formula Chicken Entree In Gravy,[3],,
,purina pro plan,,16%,90/100g,5%,27%,7%,45%,wet,,3.5%,1.0%,6.0%,1.5%,78.0%,10.0%,"Salmon,liver,water sufficient for processing,meat by-products,chicken,tuna,artificial and natural flavors,calcium phosphate,added color,potassium chloride,guar gum,taurine,Vitamin E supplement,citric acid,salt,L-ascorbyl-2-polyphosphate (source of Vitamin C),choline chloride,thiamine mononitrate,zinc sulfate,ferrous sulfate,niacin,calcium pantothenate,Vitamin A supplement,copper sulfate,menadione sodium bisulfite complex (source of Vitamin K activity),manganese sulfate,pyridoxine hydrochloride,riboflavin supplement,Vitamin B-12 supplement,biotin,folic acid,Vitamin D-3 supplement,and potassium iodide",[2],Focus Adult 11+ Salmon & Tuna Entrée Classic,[4],,
,purina pro plan,,16%,90/100g,5%,27%,7%,45%,wet,,3.5%,1.0%,6.0%,1.5%,78.0%,10.0%,"Chicken,liver,water sufficient for processing,meat by-products,beef,salmon,artificial and natural flavors,potassium chloride,guar gum,taurine,added color,calcium phosphate,Vitamin E supplement,citric acid,salt,L-ascorbyl-2-polyphosphate (source of Vitamin C),choline chloride,thiamine mononitrate,zinc sulfate,ferrous sulfate,niacin,calcium pantothenate,Vitamin A supplement,copper sulfate,manganese sulfate,menadione sodium bisulfite complex (source of Vitamin K activity),pyridoxine hydrochloride,riboflavin supplement,Vitamin B-12 supplement,biotin,folic acid,Vitamin D-3 supplement,and potassium iodide",[3],Focus Adult 11+ Chicken & Beef Entrée Classic,[4],,
,purina pro plan,,0%,75/100g,28%,10%,8%,55%,wet,,0.0%,5.5%,2.0%,1.5%,80.0%,11.0%,"Water sufficient for processing,turkey,wheat gluten,meat by-products,liver,soy flour,corn starch-modified,artificial and natural flavors,chicken livers,salt,chicken hearts,tricalcium phosphate,potassium chloride,taurine,choline chloride,Vitamin E supplement,thiamine mononitrate,zinc sulfate,ferrous sulfate,niacin,calcium pantothenate,Vitamin A supplement,menadione sodium bisulfite complex (source of Vitamin K activity),copper sulfate,manganese sulfate,pyridoxine hydrochloride,riboflavin supplement,Vitamin B-12 supplement,biotin,folic acid,Vitamin D-3 supplement,and potassium iodide",[1],Adult Turkey & Giblets Entrée In Gravy,[3],,
,purina pro plan,,0%,75/100g,28%,10%,8%,55%,wet,,0.0%,5.5%,2.0%,1.5%,80.0%,11.0%,"Water sufficient for processing,salmon,wheat gluten,meat by-products,liver,chicken,soy flour,corn starch-modified,artificial and natural flavors,salt,tricalcium phosphate,potassium chloride,added color,taurine,choline chloride,Vitamin E supplement,thiamine mononitrate,zinc sulfate,ferrous sulfate,niacin,calcium pantothenate,Vitamin A supplement,menadione sodium bisulfite complex (source of Vitamin K activity),copper sulfate,manganese sulfate,pyridoxine hydrochloride,riboflavin supplement,Vitamin B-12 supplement,biotin,folic acid,Vitamin D-3 supplement,and potassium iodide",[1],Adult Salmon Entrée In Sauce,[3],,
,purina pro plan,,0%,75/100g,28%,10%,8%,55%,wet,,0.0%,5.5%,2.0%,1.5%,80.0%,11.0%,"Water sufficient for processing,ocean whitefish,wheat gluten,meat by-products,liver,soy flour,corn starch-modified,tuna,artificial and natural flavors,chicken by-products,salt,tricalcium phosphate,potassium chloride,added color,taurine,choline chloride,Vitamin E supplement,thiamine mononitrate,zinc sulfate,ferrous sulfate,niacin,calcium pantothenate,Vitamin A supplement,menadione sodium bisulfite complex (source of Vitamin K activity),copper sulfate,manganese sulfate,pyridoxine hydrochloride,riboflavin supplement,Vitamin B-12 supplement,biotin,folic acid,Vitamin D-3 supplement,and potassium iodide",[1],Adult Ocean Whitefish & Tuna Entrée In Sauce,[3],,
,purina pro plan,,0%,75/100g,28%,10%,8%,55%,wet,,0.0%,5.5%,2.0%,1.5%,80.0%,11.0%,"Water sufficient for processing,chicken,wheat gluten,meat by-products,liver,fish,soy flour,corn starch-modified,artificial and natural flavors,salt,tricalcium phosphate,potassium chloride,added color,taurine,choline chloride,Vitamin E supplement,thiamine mononitrate,zinc sulfate,ferrous sulfate,niacin,calcium pantothenate,Vitamin A supplement,menadione sodium bisulfite complex (source of Vitamin K activity),copper sulfate,manganese sulfate,riboflavin supplement,Vitamin B-12 supplement,biotin,folic acid,Vitamin D-3 supplement,and potassium iodide",[1],Adult Chicken Entrée In Gravy,[3],,
